k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
65,518.6132248,779.3760622,0.0,0.0,0.0,359.93454954324574,0.0,0.0,0.10343239319148938,1.0,0.0,1.0,0.0,0.0,101.06699542619545,48.61322480000001,39.31717042714881,0.0,0.0,977.1309771309772,470.0,380.1243422296054
66,526.7424659,714.0545666,0.0,0.0,0.0,288.03832537736633,0.0,0.0,0.12072865085106373,1.0,0.0,1.0,0.0,0.0,117.96770457380448,56.74246589999996,45.891898993028285,0.0,0.0,977.1309771309772,470.0,380.1243422296054
67,391.8111945,585.2046364,0.0,0.0,0.0,268.31746068189693,0.0,0.0,0.0,0.8336408393617021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.5762879417879,391.8111945,316.8871757181031
68,389.7409138,585.2046364,0.0,0.0,0.0,269.99185236129716,0.0,0.0,0.0,0.8292359868085105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.2721700623702,389.7409138,315.21278403870286
69,389.7409138,585.2046364,0.0,0.0,0.0,269.99185236129716,0.0,0.0,0.0,0.8292359868085105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.2721700623702,389.7409138,315.21278403870286
70,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.7596882478723403,0.0,0.0,1.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.7596882478723403,0.0,0.0,1.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,105.0668726388771,0.0,0.0,0.0,0.7671016819148936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.5588160083161,360.5377905,291.5940222611229
73,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.0,0.7596882478723403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348
74,364.022102,396.6608949,0.0,0.0,0.0,102.24884792172702,0.0,0.0,0.0,0.7745151106382978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.8027068607068,364.022102,294.412046978273
75,353.569165,396.6608949,0.0,0.0,0.0,110.70292409511535,0.0,0.0,0.0,0.7522748191489361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0710291060291,353.569165,285.95797080488467
76,358.7956335,396.6608949,0.0,0.0,0.0,106.47588600842113,0.0,0.0,0.0,0.7633949648936169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.9368679833681,358.7956335,290.1850088915789
77,365.764259,396.6608949,0.0,0.0,0.0,100.83983455218299,0.0,0.0,0.0,0.7782218276595744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.4246548856548,365.764259,295.821060347817
78,381.4436671,396.6608949,0.0,0.0,0.0,88.15871818928497,0.0,0.0,0.0,0.8115822704255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.022176923077,381.4436671,308.50217671071505
79,410.6426673,587.1223702,0.0,0.0,0.0,255.00476637271663,0.0,0.0,0.0,0.8737078027659574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.7269590436591,410.6426673,332.11760382728335
